Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
80585,1.068E+04,2358,123.3,366.5,4671,224.7
80586,7.008E+04,2.947E+04,1018,904.5,1.214E+04,604.6
80632,1.113E+04,1067,92.31,774.9,9109,183.4
80642,3.191E+04,3574,1271,774.6,1.138E+04,426.9
80678,4.133E+04,8619,136.5,865.7,1.544E+04,204.8
80696,4.018E+04,3.21E+04,260.3,6421,9.467E+04,356.4
80713,1.735E+04,2938,122.5,1170,1.515E+04,192.7
80814,2.847E+04,6509,1582,848,1.204E+04,484.3
80867,4.984E+04,1.318E+04,4721,2881,4.214E+04,1252
80875,1.945E+04,3457,194.6,1486,2.409E+04,294.1
80914,3.626E+04,8051,2501,1245,1.72E+04,655.1
80949,2.794E+04,4577,2610,1116,1.443E+04,750.7
80953,2.506E+04,4966,1844,973.6,1.407E+04,472.6
80959,1.8E+04,943.8,62.71,111,225,83.53
81010,3.564E+04,2.361E+04,231.8,2249,3.093E+04,219.8
81046,2.763E+04,3204,781.6,498.5,6923,308.1
81087,2.239E+04,6245,1645,900.3,1.242E+04,489.2
81117,2.136E+04,4698,1420,738.4,1.059E+04,458
81128,3.974E+04,5729,876.2,505.8,6733,326.2
81132,2.632E+04,6624,1473,1019,1.427E+04,533.4
81146,9347,884,74.01,175.5,2881,135.2
81230,2.38E+04,2209,1288,647.2,8719,540
81268,2.917E+04,4191,2223,950,1.269E+04,594.9
81295,2.699E+04,6060,1642,711.1,9375,571.1
81315,2.842E+04,4853,203.7,2591,3.888E+04,195
81336,1.536E+04,4006,110,736.7,9701,105.3
81386,2.118E+04,3710,1425,780.4,1.091E+04,452.9
81415,2.957E+04,4982,1927,983.9,1.23E+04,619.3
81451,2.71E+04,3431,1054,700.2,9850,360.3
81453,1.193E+04,3833,1230,833.5,1.188E+04,432.4
81494,2.808E+04,4568,2148,945.7,1.278E+04,582.3
81506,4.989E+04,2.015E+04,339.1,224.3,539.1,798.8
81595,2.793E+04,3684,727.6,395.1,5139,250.7
81634,1.944E+04,3648,110.9,99.45,616.7,123.6
81702,3.502E+04,7091,1760,1193,1.713E+04,546.4
81705,9843,962.4,77.54,200.7,4301,126.3
81731,5.893E+04,1.674E+04,5421,2586,3.458E+04,1289
81737,8489,5.736E+04,77.87,104.2,47.88,33.49
81790,2.888E+04,6888,1825,629.2,8269,608
81893,4.182E+04,1.386E+04,3317,1425,1.915E+04,753.2
81903,2.879E+04,1.45E+04,36.32,58.34,201.6,92.21
81930,2.967E+04,7314,97.4,218.3,3811,103.7
81935,2.456E+04,1994,59.9,56.79,111.9,98.49
81953,2.003E+04,4400,1270,2407,5377,1117
81993,1.831E+05,4197,356.4,5613,9.205E+04,402.6
82104,2.285E+04,3367,86.25,120.5,237.6,104.5
82213,1.165E+04,5058,1041,601.1,8537,396
82217,1.791E+05,5.284E+04,1.606E+04,1.912E+04,4.449E+04,1.316E+04
82227,2.213E+04,1.287E+04,119.7,679.6,8491,142.2
82285,2.709E+04,6193,2556,1268,1.692E+04,798.5
82321,8234,1030,81.39,162.4,2398,104.3
82341,4.426E+04,1.868E+04,150.8,217,736.9,171.1
82355,1.157E+04,1898,84.24,337.4,4897,95.93
82384,2.09E+04,8859,2262,1297,1.711E+04,682.2
82385,1.121E+04,4310,2346,1260,1.67E+04,635.3
82405,2.802E+04,4629,1998,882.6,1.187E+04,684.2
82429,1.221E+04,1036,152.3,521.3,8706,152.6
82477,1.588E+05,8.54E+04,1.622E+04,6303,3.667E+04,1289
82483,2.049E+04,4223,1074,472.6,6131,337.7
82576,1.594E+04,3231,55.73,35.62,101.2,42.65
82598,2.58E+04,7456,1875,911,1.304E+04,555.9
82795,9696,1050,95.68,381,5465,114.6
82891,3.193E+04,4946,1101,708.7,9022,402.9
82939,1.78E+04,4105,2157,1275,1.778E+04,586.9
83075,1.256E+04,1159,112.5,646.6,9794,147
83079,3.108E+04,1.211E+05,335.3,466.2,105.9,61.56
83135,3.141E+04,6092,1019,859.9,1.291E+04,427.4
83163,1.161E+04,1841,1268,700.3,9134,454.3
83174,1.624E+04,6857,1557,909.2,1.083E+04,519
83197,2.922E+04,3339,1175,708.4,1.015E+04,411.2
83201,4.397E+04,1.295E+04,7914,3306,4.352E+04,1757
83229,2.674E+04,6645,2646,1281,1.838E+04,713.3
83281,1.557E+05,2.588E+05,1378,1512,226.5,53.6
83402,1.523E+05,6.562E+04,138,134.9,84.27,29.93
83403,5.7E+05,9.458E+04,691,569.3,138.3,31.86
83404,4.8E+05,1.145E+05,637.6,540.3,114.3,26.53
83405,2E+05,7.003E+04,259,243.9,44.82,11.6
83406,2E+05,7.1E+04,248.7,269,45.06,10
83407,2E+05,5.992E+04,266.9,270.3,39.37,20.01
83408,2E+05,6.077E+04,301.9,324.6,41.93,15.99
83409,2.8E+05,1.06E+05,573.5,496.8,67.52,24.15
83410,2E+05,7.995E+04,371,297.5,36.59,16.95
83468,1.386E+04,7474,1249,701.1,9430,485
83485,2.903E+04,8794,65.17,179.6,3232,168.9
83551,1.507E+04,1915,80.91,552.3,6329,100.6
83611,4.16E+04,1.261E+04,164,1430,2.067E+04,158.6
83612,1.409E+04,3426,1025,514.5,7121,370.9
83621,8551,1027,104.8,222.5,3057,119.5
83665,2.695E+04,4727,1695,902.8,1.264E+04,569.5
83672,2.749E+04,3397,2035,1005,1.32E+04,634
83721,8825,1122,90.83,234.8,3506,110.8
83778,1.048E+04,990.1,110.2,311.4,4840,188.7
83782,3.46E+04,7811,2002,1092,1.65E+04,634.9
83787,1.688E+04,3942,86.07,146.7,3209,96.37
83811,2.484E+04,3500,1002,606.3,8995,324.8
83838,2.568E+04,5571,544.6,440.9,6433,233.9
83884,3.815E+04,7202,1980,1123,1.548E+04,599.6
83893,3.11E+04,5384,777,510.1,7413,369.9
83907,1.38E+04,3682,1393,1012,1.444E+04,405.2
83971,1.367E+04,2829,727.6,526.4,7294,345.7
84033,2.766E+04,3754,955.9,569.5,7787,303.6
84048,6.026E+04,1.982E+04,160.6,74.03,283.9,171.9
84075,1.973E+04,1.394E+04,27.73,33.63,40.39,67.4
84169,1.981E+04,3790,1226,645.6,8567,362.6
84246,1.024E+04,1667,79.74,228.5,4900,132.4
84272,1.321E+04,1608,114.7,788.2,1.079E+04,159.4
84353,1.6E+04,1120,115.1,688.3,9563,140.8
84428,3.672E+04,1.542E+04,4904,2575,3.842E+04,1237
84442,9968,1670,74.68,854.1,9702,78.06
84487,2.943E+04,5971,682.1,464.4,6185,304.1
84500,2.522E+04,3709,1539,858.8,1.157E+04,557.2
84562,2.249E+04,6242,137.6,266.5,6042,110
84589,1.155E+04,948,104,245.3,3292,112.9
84616,5.253E+04,1.714E+04,5863,3143,4.62E+04,1529
84630,2.799E+04,6168,119,97.65,654,128.7
84660,7.65E+04,9122,212.6,2246,3.453E+04,224.5
84665,2.392E+04,3243,1674,771.8,1.053E+04,708.1
84677,3.572E+04,5250,1371,799.2,1.179E+04,495.6
84699,1.371E+04,4093,54.83,50.27,271.3,25.77
84775,2.434E+04,2621,1010,642.2,8844,326.2
84781,6.438E+04,1.189E+04,181.2,1066,1.564E+04,220.7
84850,2.396E+04,4494,1554,791.1,1.045E+04,448.1
84875,2.836E+04,3988,1147,787.9,1.182E+04,415.3
85104,2.777E+04,6206,2013,1227,1.771E+04,561.7
85107,1.085E+04,1300,89.76,267.2,4404,103.3
85310,2.261E+04,2550,2551,1068,1.311E+04,691.9
85343,2.127E+04,3509,1252,725.7,9596,432.5
85346,2.221E+04,1.03E+04,1752,1297,2.049E+04,636.4
85364,2.665E+04,4353,1207,815.9,1.141E+04,407.7
85403,1.448E+04,3412,1076,572.2,7639,333.4
85406,9.543E+04,3.044E+04,142.5,2205,3.5E+04,244.3
85436,2.212E+04,3489,2964,1016,1.252E+04,791
85492,2.584E+04,5837,1487,792,1.089E+04,451.8
85520,2.412E+04,5470,1112,691,9797,437.8
85547,2.532E+04,4316,667.3,557,8061,300.5
85563,2.141E+04,4058,1161,584.1,8567,399.3
85627,3.427E+04,6065,2558,1294,1.875E+04,894.5
85628,1.787E+04,3788,1017,570,8225,353.1
85725,1.775E+04,1.282E+04,826.7,325.1,1578,180.9
85738,1.993E+04,1.78E+04,4355,2135,3.036E+04,993.4
85797,1.527E+04,2955,1709,840.7,1.081E+04,510
85827,1.17E+05,5.719E+04,3.745E+04,1.475E+04,1.158E+05,3855
85829,2.76E+04,2906,1713,787,1.058E+04,518.6
85872,1.367E+04,4722,2779,2398,3.515E+04,798
85881,2.3E+04,4288,155.1,958.9,1.448E+04,253.1
85945,1.369E+04,1692,1374,683.3,8430,445.8
85983,2.835E+04,5705,2135,1120,1.653E+04,612.5
86040,1.628E+04,8.103E+04,122.4,169.1,60.02,33.16
86046,5.062E+04,4357,147.3,239.9,428.7,223
86116,3.17E+04,4836,1462,963.2,1.428E+04,482.4
86217,2.931E+04,1.173E+04,1848,974.7,1.341E+04,743.3
86243,2.252E+04,2.19E+04,144.1,762.3,1.022E+04,204.1
86253,2.65E+04,1402,46.01,32.93,83.76,30.42
86266,2.377E+04,3085,1344,699.8,9159,385.8
86271,3.096E+04,4283,1270,701.9,9356,460.1
86335,1.053E+04,1188,83.47,190.2,3490,110
86376,2.387E+04,3962,800.8,535,7346,290.5
86405,3.497E+04,1.037E+04,9039,3326,4.312E+04,2139
86420,1.158E+04,1019,94.52,425.8,6067,165.6
86468,1.01E+04,1138,29.2,38.24,75.18,40.7
86531,1.525E+04,2495,140.7,804.3,1.193E+04,246.1
86545,2.544E+04,8288,2113,1001,1.335E+04,559.6
86607,3.889E+04,6297,1183,1045,1.645E+04,396.8
86618,2.585E+04,5517,282.4,4513,7.657E+04,373.9
86623,8571,4088,74.69,190.6,4161,110.5
86651,2.415E+04,1.509E+04,6829,7067,4.422E+04,857.5
86686,2.369E+04,3508,711.9,526.1,8413,286
86708,2.671E+04,6922,4826,986.8,9482,1085
86715,2.221E+04,5391,164.5,950.1,1.263E+04,164.1
86860,3.452E+04,1.834E+04,3333,1361,1.214E+04,403.5
86941,1.621E+04,5599,1519,747,9403,433.3
87032,6.232E+04,2.469E+04,140.4,1309,2.296E+04,206.2
87057,2.499E+04,9338,6416,1038,4103,2007
87102,3.456E+04,4628,1330,758.4,1.065E+04,413.7
87172,2.696E+05,6.102E+04,2.085E+04,2.582E+04,6.013E+04,1.705E+04
87183,2.984E+04,4651,1077,805.9,1.199E+04,425.7
87218,2.683E+04,3.634E+04,204.3,2340,3.191E+04,245.3
87220,8329,610.5,114.3,219.9,3932,129.1
87300,2.505E+04,2598,1121,558.3,8010,379.9
87308,2.764E+04,3128,725.6,578.1,8612,302.7
87319,1.582E+04,1806,1391,665.5,8018,318.5
87320,2.203E+04,3073,894.1,544.2,7486,323.6
87339,2.569E+04,3261,1084,633,8913,419.4
87342,2.025E+04,4535,1076,595.4,7890,426.7
87350,2.126E+04,3045,812.6,681.5,1.034E+04,381
87434,1.095E+04,3053,73.51,186.5,3877,121.1
87462,1.906E+04,2216,159.8,1380,1.816E+04,225.4
87474,2.128E+04,3967,1162,620.4,8019,448.2
87509,1.716E+04,3443,128,539.7,1.135E+04,145.3
87529,1.12E+04,933.2,74.44,199.6,3215,94.49
87545,2.926E+04,4305,1313,718.5,1.045E+04,468.6
87565,2.858E+04,4732,1316,789.6,1.093E+04,445.8
87679,2.895E+04,3865,1507,1013,1.467E+04,494.4
87721,2.821E+04,5925,1428,776.3,1.112E+04,568.3
87770,1.9E+05,8.278E+04,1.833E+04,7663,6.187E+04,1867
87772,3.814E+04,1.114E+04,1561,958,1.429E+04,581.3
87788,1.978E+04,3.784E+04,21.77,38.07,49.79,28.52
87791,1.06E+05,1.886E+04,4274,1.143E+04,2.41E+04,3724
87799,2.963E+04,4597,1543,938.6,1.349E+04,471.5
87814,2.297E+04,3125,1205,557,7387,336.2
87860,1.545E+04,5884,36.68,43.61,226.4,39.42
87900,6878,1080,71.26,183.3,2878,66.49
88003,1.721E+04,2072,158.2,1221,1.922E+04,171.3
88011,2.91E+04,5876,1234,718.1,1.023E+04,444.6
88061,9656,926.3,77.84,188.6,3643,98.96
88069,2.802E+04,8538,1882,1022,1.537E+04,592
88078,3.397E+04,1.133E+04,371.5,1124,1.147E+04,236.3
88100,5.606E+04,2.234E+04,7461,3641,5.306E+04,1705
88180,4.186E+04,1.208E+04,5033,2478,3.522E+04,1271
88188,1.406E+04,2045,19.43,15.65,57.93,38.95
88230,7298,398.2,50.71,139.8,2140,140.6
88244,3.825E+04,1.638E+04,8631,3312,3.993E+04,1762
88262,1.146E+04,1436,107.6,452.7,5933,115.1
88339,1.492E+04,3978,124.3,1162,1.853E+04,354.3
88341,1.157E+04,2572,995.9,592.3,8055,356.7
88406,2.432E+04,3629,1277,775,1.103E+04,580.2
88527,3.515E+04,8857,122.1,429.8,6550,193.4
88590,2.426E+04,1.197E+05,370.1,443.5,106.9,52.34
88594,9.05E+04,1.178E+05,150.8,146.7,356.9,125.2
88597,2.231E+04,3079,1043,677.1,9425,338.4
88599,3.829E+04,8529,2480,1151,1.53E+04,632.6
88636,1.956E+04,7156,1.211E+04,1965,1.219E+04,2532
88679,3.133E+04,8132,1706,842.9,1.245E+04,559.2
