Ecotaxa_annotation_category,Ecotaxa_annotation_hierarchy,Full_hierarchy,Rank,Type,Domain,Phylum,Class,Order,Family,Genus,Functional_group,WORMS_ID,Reference,Citation
diatom-centric-chain,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>diatom-centric-chain,Chromista(Kingdom)>Heterokontophyta(Phylum)>Bacillariophytina(Subphylum)>Bacillariophyceae(Class),Class,Living,Chromista,Heterokontophyta,Bacillariophyceae,,,,,urn:lsid:marinespecies.org:taxname:148899,"Margulis, L.; Schwartz, K.V. (1982). Five Kingdoms : an illustrated guide to the phyla of life on earth. Second edition. Freeman.","Kociolek,J.P.;Blanco,S.;Coste,M.;Ector,L.;Liu,Y.;Karthick,B.;Kulikovskiy,M.;Lundholm,N.;Ludwig,T.;Potapova,M.;Rimet,F.;Sabbe,K.;Sala,S.;Sar,E.;Taylor,J.;VandeVijver,B.;Wetzel,C.E.;Williams,D.M.;Witkowski,A.;Witkowski,J.(2025).DiatomBase.Bacillariophyceae.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=148899on2025-08-04"
diatom-pennate,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>diatom-pennate,Chromista(Kingdom)>Heterokontophyta(Phylum)>Bacillariophytina(Subphylum)>Bacillariophyceae(Class),Class,Living,Chromista,Heterokontophyta,Bacillariophyceae,,,,,urn:lsid:marinespecies.org:taxname:148899,"Margulis, L.; Schwartz, K.V. (1982). Five Kingdoms : an illustrated guide to the phyla of life on earth. Second edition. Freeman.","Kociolek,J.P.;Blanco,S.;Coste,M.;Ector,L.;Liu,Y.;Karthick,B.;Kulikovskiy,M.;Lundholm,N.;Ludwig,T.;Potapova,M.;Rimet,F.;Sabbe,K.;Sala,S.;Sar,E.;Taylor,J.;VandeVijver,B.;Wetzel,C.E.;Williams,D.M.;Witkowski,A.;Witkowski,J.(2025).DiatomBase.Bacillariophyceae.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=148899on2025-08-04"
Stephanodiscus,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Stephanodiscus,Chromista(Kingdom)>Heterokontophyta(Phylum)>Bacillariophytina(Subphylum)>Bacillariophyceae(Class)>Coscinodiscophycidae(Subclass)>Thalassiosiranae(Superorder)>Thalassiosirales(Order)>Stephanodiscaceae(Family)>Stephanodiscus(Genus),Genus,Living,Chromista,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,,urn:lsid:marinespecies.org:taxname:149079,"Ehrenberg, C.G. (1845). Neue Untersuchungen über das kleinste Leben als geologisches Moment. Bericht über die zur Bekanntmachung geeigneten Verhandlungen der Königlich-Preussischen Akademie der Wissenschaften zu Berlin, 1845: 53-87","Kociolek,J.P.;Blanco,S.;Coste,M.;Ector,L.;Liu,Y.;Karthick,B.;Kulikovskiy,M.;Lundholm,N.;Ludwig,T.;Potapova,M.;Rimet,F.;Sabbe,K.;Sala,S.;Sar,E.;Taylor,J.;VandeVijver,B.;Wetzel,C.E.;Williams,D.M.;Witkowski,A.;Witkowski,J.(2025).DiatomBase.StephanodiscusC.G.Ehrenberg,1845.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=149079on2025-08-04"
Thalassiosira,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Mediophyceae>Thalassiosira,Chromista(Kingdom)>Heterokontophyta(Phylum)>Bacillariophytina(Subphylum)>Bacillariophyceae(Class)>Coscinodiscophycidae(Subclass)>Thalassiosiranae(Superorder)>Thalassiosirales(Order)>Thalassiosiraceae(Family)>Thalassiosira(Genus),Genus,Living,Chromista,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,,urn:lsid:marinespecies.org:taxname:148912,"Cleve, P.T. (1873). On Diatoms from the Arctic Sea. <em>Bihang till Kongliga Svenska Vetenskaps-Akademiens Handlingar.</em> 1(13): 1-28, 4 pls.","Kociolek,J.P.;Blanco,S.;Coste,M.;Ector,L.;Liu,Y.;Karthick,B.;Kulikovskiy,M.;Lundholm,N.;Ludwig,T.;Potapova,M.;Rimet,F.;Sabbe,K.;Sala,S.;Sar,E.;Taylor,J.;VandeVijver,B.;Wetzel,C.E.;Williams,D.M.;Witkowski,A.;Witkowski,J.(2025).DiatomBase.ThalassiosiraP.T.Cleve,1873emend.Hasle,1973.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=148912on2025-08-04"
Aulacoseira,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophytina>Melosirids>Aulacoseira,Chromista(Kingdom)>Heterokontophyta(Phylum)>Bacillariophytina(Subphylum)>Bacillariophyceae(Class)>Coscinodiscophycidae(Subclass)>Coscinodiscanae(Superorder)>Aulacoseirales(Order)>Aulacoseiraceae(Family)>Aulacoseira(Genus),Genus,Living,Chromista,Heterokontophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,,urn:lsid:marinespecies.org:taxname:148959,"Thwaites, G.H.K. (1848). Further observations on the Diatomaceae with descriptions of new genera and species. Annals and Magazine of Natural History, 2nd series,, 1: 161-172, pl. 11, 12.","Kociolek,J.P.;Blanco,S.;Coste,M.;Ector,L.;Liu,Y.;Karthick,B.;Kulikovskiy,M.;Lundholm,N.;Ludwig,T.;Potapova,M.;Rimet,F.;Sabbe,K.;Sala,S.;Sar,E.;Taylor,J.;VandeVijver,B.;Wetzel,C.E.;Williams,D.M.;Witkowski,A.;Witkowski,J.(2025).DiatomBase.AulacoseiraG.H.K.Thwaites,1848.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=148959on2025-08-04"
Chrysophyceae,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Chrysophyceae,Chromista(Kingdom)>Harosa(Subkingdom)>Heterokonta(Infrakingdom)>Ochrophyta(Phylum)>Chrysophyceae(Class),Class,Living,Chromista,Ochrophyta,Chrysophyceae,,,,,urn:lsid:marinespecies.org:taxname:146230,"Margulis, L.; Schwartz, K.V. (1998). Five Kingdoms: an illustrated guide to the Phyla of life on earth. 3rd edition. Freeman: New York, NY (USA). ISBN 0-7167-3027-8. xx, 520 pp.",WoRMS(2025).Chrysophyceae.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=146230on2025-08-04
Bitrichia,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Chrysophyceae>Bitrichia,Chromista(Kingdom)>Harosa(Subkingdom)>Heterokonta(Infrakingdom)>Ochrophyta(Phylum)>Chrysophyceae(Class)>Chrysosaccales(Order)>Stylococcaceae(Family)>Bitrichia(Genus),Genus,Living,Chromista,Ochrophyta,Chrysophyceae,Chrysosaccales,Stylococcaceae,Bitrichia,,urn:lsid:marinespecies.org:taxname:578212,"Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. <em>World-wide electronic publication, National University of Ireland, Galway.</em> searched on YYYY-MM-DD.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).BitrichiaWoloszynska,1914.Accessedthrough:WorldRegisterofMarineSpeciesat:https://marinespecies.org/aphia.php?p=taxdetails&id=578212on2025-08-04"
Dinobryon,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Chrysophyceae>Chryso clade C>Dinobryon,Chromista(Kingdom)>Harosa(Subkingdom)>Heterokonta(Infrakingdom)>Ochrophyta(Phylum)>Chrysophyceae(Class)>Chromulinales(Order)>Dinobryaceae(Family)>Dinobryon(Genus),Genus,Living,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,,urn:lsid:marinespecies.org:taxname:157240,"Ehrenberg, C.G. (1834). Dritter Beitrag zur Erkenntniss grosser Organisation in der Richtung des kleinsten Raumes. <em>Abhandlungen der Königlichen Akademie der Wissenschaften zu Berlin.</em> 1833: 145-336, pls I-XIII [1-11].","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).DinobryonEhrenberg,1834.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=157240on2025-08-04"
Uroglena,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Chrysophyceae>Chryso clade C>Uroglena,Chromista(Kingdom)>Harosa(Subkingdom)>Heterokonta(Infrakingdom)>Ochrophyta(Phylum)>Chrysophyceae(Class)>Ochromonadales(Order)>Ochromonadaceae(Family)>Uroglena(Genus),Genus,Living,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Ochromonadaceae,Uroglena,,urn:lsid:marinespecies.org:taxname:248172,"Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. <em>World-wide electronic publication, National University of Ireland, Galway.</em> searched on YYYY-MM-DD.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).UroglenaEhrenberg,1834.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=248172on2025-08-04"
Ochromonas sp.,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Chrysophyceae>Chryso clade D>Ochromonas>Ochromonas sp.,Chromista(Kingdom)>Harosa(Subkingdom)>Heterokonta(Infrakingdom)>Ochrophyta(Phylum)>Chrysophyceae(Class)>Ochromonadales(Order)>Ochromonadaceae(Family)>Ochromonas(Genus),Genus,Living,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Ochromonadaceae,Ochromonas,,urn:lsid:marinespecies.org:taxname:249725,"Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. <em>World-wide electronic publication, National University of Ireland, Galway.</em> searched on YYYY-MM-DD.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).OchromonasVysotskii,1887.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=249725on2025-08-04"
Mallomonas,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Chrysophyceae>Synurales>Mallomonas,Chromista(Kingdom)>Harosa(Subkingdom)>Heterokonta(Infrakingdom)>Ochrophyta(Phylum)>Chrysophyceae(Class)>Synurales(Order)>Mallomonadaceae(Family)>Mallomonas(Genus),Genus,Living,Chromista,Ochrophyta,Chrysophyceae,Synurales,Mallomonadaceae,Mallomonas,,urn:lsid:marinespecies.org:taxname:249721,,"Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).MallomonasPerty,1852.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=249721on2025-08-04"
Synura,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Chrysophyceae>Synurales>Synura,Chromista(Kingdom)>Harosa(Subkingdom)>Heterokonta(Infrakingdom)>Ochrophyta(Phylum)>Chrysophyceae(Class)>Synurales(Order)>Mallomonadaceae(Family)>Synura(Genus),Genus,Living,Chromista,Ochrophyta,Chrysophyceae,Synurales,Mallomonadaceae,Synura,,urn:lsid:marinespecies.org:taxname:178594,Integrated Taxonomic Information System (ITIS). ,"Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).SynuraEhrenberg,1834.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=178594on2025-08-04"
Xanthophyceae,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Xanthophyceae,Chromista(Kingdom)>Harosa(Subkingdom)>Heterokonta(Infrakingdom)>Ochrophyta(Phylum)>Xanthophyceae(Class),Class,Living,Chromista,Ochrophyta,Xanthophyceae,,,,,urn:lsid:marinespecies.org:taxname:17793,"Guiry, M.D. (2001). Macroalgae of Rhodophycota, Phaeophycota, Chlorophycota, and two genera of Xanthophycota, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 20-38","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).Xanthophyceae.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=17793on2025-08-04"
Tribonema,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Xanthophyceae>Tribonema,Chromista(Kingdom)>Harosa(Subkingdom)>Heterokonta(Infrakingdom)>Ochrophyta(Phylum)>Xanthophyceae(Class)>Tribonematales(Order)>Tribonemataceae(Family)>Tribonema(Genus),Genus,Living,Chromista,Ochrophyta,Xanthophyceae,Tribonematales,Tribonemataceae,Tribonema,,urn:lsid:marinespecies.org:taxname:144302,"Guiry, M.D. (2001). Macroalgae of Rhodophycota, Phaeophycota, Chlorophycota, and two genera of Xanthophycota, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 20-38","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).TribonemaDerbès&Solier,1851.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=144302on2025-08-04"
Xanthonema,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Xanthophyceae>Xanthonema,Chromista(Kingdom)>Harosa(Subkingdom)>Heterokonta(Infrakingdom)>Ochrophyta(Phylum)>Xanthophyceae(Class)>Tribonematales(Order)>Tribonemataceae(Family)>Xanthonema(Genus),Genus,Living,Chromista,Ochrophyta,Xanthophyceae,Tribonematales,Tribonemataceae,Xanthonema,,urn:lsid:marinespecies.org:taxname:577732,"Silva, P.C. (1979). Review of the taxonomic history and nomenclature of the yellow-green algae. <em>Archiv für Protistenkunde.</em> 121: 20-63.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).XanthonemaP.C.Silva,1979.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=577732on2025-08-04"
Fungi X,living>Eukaryota>Opisthokonta>Holomycota>Fungi>Fungi X,,Kingdom,Living,,,,,,,,urn:lsid:marinespecies.org:taxname:4,"Margulis, L.; Schwartz, K.V. (1998). Five Kingdoms: an illustrated guide to the Phyla of life on earth. 3rd edition. Freeman: New York, NY (USA). ISBN 0-7167-3027-8. xx, 520 pp.",WoRMS(2025).Fungi.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=4on2025-08-04
Fungi incertae sedis,living>Eukaryota>Opisthokonta>Holomycota>Fungi>Fungi incertae sedis,Fungi(Kingdom)>Fungi incertae sedis(Class),Class,Living,Fungi,,Fungi incertae sedis,,,,,urn:lsid:marinespecies.org:taxname:177372,,WoRMS(2025).Fungiincertaesedis.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=177372on2025-08-04
Choanoflagellatea,living>Eukaryota>Opisthokonta>Holozoa>Choanozoa>Choanoflagellatea,Protozoa(Kingdom)>Sarcomastigota(Subkingdom)>Choanozoa(Phylum)>Choanofila(Subphylum)>Choanoflagellatea(Class),Class,Living,Protozoa,Choanozoa,Choanoflagellatea,,,,,urn:lsid:marinespecies.org:taxname:580116,"Ruggiero, M.A., D.P. Gordon, T.M. Orrell, N. Bailly, T. Bourgoin, R.C. Brusca, T. Cavalier-Smith, M.D. Guiry & P.M. Kirk. (2015). A Higher Level Classification of All Living Organisms. <em>PLOS ONE.</em> 10(4):1-60.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).Choanoflagellatea.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=580116on2025-08-04"
Annelida,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Annelida,Animalia(Kingdom)>Annelida(Phylum),Phylum,Living,Animalia,Annelida,,,,,,urn:lsid:marinespecies.org:taxname:882,"Lamarck, J.-B. de. (1802 [privately published, reprinted 1906]). Discours d'Ouverture, Prononcé le 27 floréal An 10, au Muséum dHistoire naturelle. Recherches sur l'organisation des corps vivans. <em>[reprint 1906] Bulletin Scientifique de la France et de la Belgique.</em> (5th series) 40: 483-517   [Les Annelides p. 494].",WoRMS(2025).Annelida.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=882on2025-08-04
Polychaeta,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Annelida>Polychaeta,Animalia(Kingdom)>Annelida(Phylum)>Polychaeta(Class),Class,Living,Animalia,Annelida,Polychaeta,,,,,urn:lsid:marinespecies.org:taxname:883,"Grube, Adolf Eduard. (1850). Die Familien der Anneliden. <em>Archiv für Naturgeschichte, Berlin.</em> 16(1): 249-364.",WoRMS(2025).Polychaeta.Accessedat:https://marinespecies.org/aphia.php?p=taxdetails&id=883on2025-08-04
Daphnia,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Branchiopoda>Diplostraca>Cladocera>Daphniidae>Daphnia,Animalia(Kingdom)>Arthropoda(Phylum)>Crustacea(Subphylum)>Allotriocarida(Superclass)>Branchiopoda(Class)>Phyllopoda(Subclass)>Diplostraca(Superorder)>Anomopoda(Order)>Daphniidae(Family)>Daphnia(Genus),Genus,Living,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,,urn:lsid:marinespecies.org:taxname:148370,Integrated Taxonomic Information System (ITIS). ,"WoRMS(2025).DaphniaO.F.Müller,1785.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=148370on2025-08-04"
Diaphanosoma,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Branchiopoda>Diplostraca>Cladocera>Sididae>Diaphanosoma,Animalia(Kingdom)>Arthropoda(Phylum)>Crustacea(Subphylum)>Allotriocarida(Superclass)>Branchiopoda(Class)>Phyllopoda(Subclass)>Diplostraca(Superorder)>Ctenopoda(Order)>Sididae(Family)>Diaphanosoma(Genus),Genus,Living,Animalia,Arthropoda,Branchiopoda,Ctenopoda,Sididae,Diaphanosoma,,urn:lsid:marinespecies.org:taxname:234062,"Põllumäe, A.; Kotta, I.; Kotta, J. (2006). Port biological sampling as a tool for monitoring invasive species in high-risk areas of bioinvasions, in: Ojaveer, H.; Kotta, J. (Ed.) (2006). Alien invasive species in the north-eastern Baltic Sea: population dynamics and ecological impacts. Estonian Marine Institute Report Series, 14: pp. 35-41","WoRMS(2025).DiaphanosomaFischer,1850.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=234062on2025-08-04"
nauplii,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>nauplii,Animalia(Kingdom)>Arthropoda(Phylum)>Crustacea(Subphylum)>Multicrustacea(Superclass)>Copepoda(Class),Class,Living,Animalia,Arthropoda,Copepoda,,,,,urn:lsid:marinespecies.org:taxname:1080,"Milne Edwards, H. (1840). Ordre des Copépodes.  [Order Copepoda]. <em>Histoire naturelle des Crustaces, comprenant l'anatomie, la physiologie et la classification de ces animaux. [In: Natural history of Crustacea, including the anatomy, physiology and classification of these animals]].</em> 3: 411-529.",WoRMS(2025).Copepoda.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=1080on2025-08-04
Nauplius larvae,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Thecostraca>Cirripedia>Nauplius larvae,Animalia(Kingdom)>Arthropoda(Phylum)>Crustacea(Subphylum)>Multicrustacea(Superclass)>Thecostraca(Class)>Cirripedia(Subclass),Subclass,Living,Animalia,Arthropoda,Thecostraca,,,,,urn:lsid:marinespecies.org:taxname:1082,"Brusca, R.C.; Brusca, G.J. (1990). Invertebrates. Sinauer Associates: Sunderland, MA (USA). ISBN 0-87893-098-1. 922 pp.","Boyko,C.B.(2025).WorldListofRhizocephala.Cirripedia.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=1082on2025-08-04"
copepod,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>copepod,Animalia(Kingdom)>Arthropoda(Phylum)>Crustacea(Subphylum),Subphylum,Living,Animalia,Arthropoda,,,,,,urn:lsid:marinespecies.org:taxname:1066,"Brünnich, M.T. (1771–1772). <i>Zoologiae fundamenta praelectionibus Academicis accomodata</i>. Hafniae et Lipsiae. 253 [+ 1] pp. ",WoRMS(2025).Crustacea.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=1066on2025-08-04
Ostracoda,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Oligostraca>Ostracoda,Animalia(Kingdom)>Arthropoda(Phylum)>Crustacea(Subphylum)>Oligostraca(Superclass)>Ostracoda(Class),Class,Living,Animalia,Arthropoda,Ostracoda,,,,,urn:lsid:marinespecies.org:taxname:1078,"Latreille, P.A. (1802). Histoire naturelle, générale et particulière des Crustacés et des Insectes. Familles naturelles des genre. <em>Ouvrage faisant suite à l'Histoire Naturelle générale et particulière, composée par Leclerc de Buffon, et rédigée par C.S. Sonnini, membre de plusieurs Sociétés savantes. de L'imprimerie de F. Dufart, Paris.</em> 2:382 p., XV pls.",WoRMS(2025).Ostracoda.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=1078on2025-08-04
Hypogastrura,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Hexapoda>Collembola>Poduromorpha>Hypogastrura,Animalia(Kingdom)>Arthropoda(Phylum)>Crustacea(Subphylum)>Allotriocarida(Superclass)>Hexapoda(Class)>Collembola(Subclass)>Hypogastruridae(Family)>Hypogastrura(Genus),Genus,Living,Animalia,Arthropoda,Hexapoda,,Hypogastruridae,Hypogastrura,,urn:lsid:marinespecies.org:taxname:118113,"Legakis, A. (2001). Insecta, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 323-324","WoRMS(2025).HypogastruraBourlet,1839.Accessedat:https://marinespecies.org/aphia.php?p=taxdetails&id=118113on2025-08-04"
velliger larvae,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Mollusca>velliger larvae,Animalia(Kingdom)>Mollusca(Phylum),Phylum,Living,Animalia,Mollusca,,,,,,urn:lsid:marinespecies.org:taxname:51,"Margulis, L.; Schwartz, K.V. (1998). Five Kingdoms: an illustrated guide to the Phyla of life on earth. 3rd edition. Freeman: New York, NY (USA). ISBN 0-7167-3027-8. xx, 520 pp.",WoRMS(2025).Mollusca.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=51on2025-08-04
Nematoda,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Nematoda,Animalia(Kingdom)>Nematoda(Phylum),Phylum,Living,Animalia,Nematoda,,,,,,urn:lsid:marinespecies.org:taxname:799,"Margulis, L.; Schwartz, K.V. (1998). Five Kingdoms: an illustrated guide to the Phyla of life on earth. 3rd edition. Freeman: New York, NY (USA). ISBN 0-7167-3027-8. xx, 520 pp.",Nemyseds.(2025).Nemys:WorldDatabaseofNematodes.Nematoda.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=799on2025-08-04
Rotifera,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Rotifera,Animalia(Kingdom)>Rotifera(Phylum),Phylum,Living,Animalia,Rotifera,,,,,,urn:lsid:marinespecies.org:taxname:14260,"Ehrenberg, C.G. (1832). Über die Entwickelung und Lebensdauer der Infusionsthiere; nebst ferneren Beiträgen zu einer Vergleichung ihrer organischen Systeme. <em>Abhandlungen der Königlichen Akademie Wissenschaften zu Berlin, Physikalische Klasse.</em> 1831: 1-154.",WoRMS(2025).Rotifera.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=14260on2025-08-04
Philodina,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Rotifera>Bdelloidea>Philodinida>Philodinidae>Philodina,Animalia(Kingdom)>Rotifera(Phylum)>Eurotatoria(Class)>Bdelloidea(Subclass)>Philodinida(Order)>Philodinidae(Family)>Philodina(Genus),Genus,Living,Animalia,Rotifera,Eurotatoria,Philodinida,Philodinidae,Philodina,,urn:lsid:marinespecies.org:taxname:247918,"Ehrenberg, C. G. (1830). Organisation, Systematik und geographisches Verhältnis der Infusionsthierchen. Zwei Vorträge in der Akademie der Wissenschaften zu Berlin gehalten in den Jahren 1828 [Die geographische Verbreitung der Infusionsthierchen in Nord-Afrika und West-Asien, beob Berlin. Druckerei der königlichen Akademie der Wissenschaften, 108, pl.1-8","Segers,H.(Ed.)(2025).WorldRotiferadatabase(FADA).PhilodinaEhrenberg,1830.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=247918on2025-08-04"
Conochilus,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Rotifera>Monogononta>Flosculariacea>Conochilidae>Conochilus,Animalia(Kingdom)>Rotifera(Phylum)>Eurotatoria(Class)>Monogononta(Subclass)>Gnesiotrocha(Superorder)>Flosculariaceae(Order)>Conochilidae(Family)>Conochilus(Genus),Genus,Living,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,,urn:lsid:marinespecies.org:taxname:134930,"Ehrenberg, C.G. (1834). Dritter Beitrag zur Erkenntniss grosser Organisation in der Richtung des kleinsten Raumes. <em>Abhandlungen der Königlichen Akademie der Wissenschaften zu Berlin.</em> 1833: 145-336, pls I-XIII [1-11].","Segers,H.(Ed.)(2025).WorldRotiferadatabase(FADA).ConochilusEhrenberg,1834.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=134930on2025-08-04"
