Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
5543,5820,874,34.66,30.37,332.8,43.82
5549,2814,380.4,20.85,70.96,835.6,34.99
5552,3.345E+04,1.515E+04,5173,2564,3.896E+04,1172
5563,7168,656.4,21.15,137.3,2809,36.17
5600,7.529E+05,1.27E+05,469.1,3.878E+04,6.711E+05,512.7
5603,287,1812,40.88,28.52,71.65,34
5610,8894,1181,25.59,133.9,3617,37.97
5611,2.078E+04,4129,1838,777.8,1.114E+04,495.1
5670,1.5E+04,6967,43.5,736,9835,80.8
5676,8737,990.9,23.55,246.7,3482,50.73
5703,1479,1538,31.82,30.24,58.64,46.1
5707,9270,1299,27.88,196.1,3298,70.99
5717,1.76E+04,3482,698.9,1409,2993,675.4
5734,2.056E+04,7256,1199,763.6,1.035E+04,355.9
5735,1741,2037,45.68,272.9,2212,89.27
5741,5787,1764,29.55,115,2379,32.58
5747,5753,2.146E+04,56.52,44.72,78.66,157.8
5767,1383,330,16.18,23.33,62.6,27.11
5775,5121,529.8,23.65,71.93,1213,41.16
5781,100.2,1030,28.66,40.4,53.49,51.14
5783,298.9,549.2,42.63,36.58,81.68,49.31
5784,2740,402.5,20.76,30.06,126.9,27.33
5786,1.135E+04,1048,23.48,334.7,5062,30
5793,2.285E+04,4831,1810,624.4,7444,458.2
5802,1783,629.6,26.71,18.39,49.43,20.89
5805,388.2,401.1,18.63,14.23,19.98,13.79
5820,1838,351.6,13.33,68.54,1669,15.84
5822,1.052E+04,1.104E+04,41.39,37.38,77.04,62.16
5830,1776,577.2,32.04,239.5,2886,59.34
5842,3892,2676,38.01,33.2,56.92,74.14
5855,2.213E+04,3200,1894,703.7,8242,450.5
5856,3.497E+04,1.01E+04,2334,999.5,1.253E+04,555.6
5863,1.27E+04,3535,1944,1064,1.415E+04,553.8
5864,2.538E+04,2984,1314,654.9,8717,350.5
5872,1.013E+04,1423,37.08,190,4310,83.54
5879,1.515E+04,2629,39.15,355.5,5820,35.63
5880,970.2,1248,32.66,31.16,62.28,43.12
5883,9178,1.633E+04,51.15,41.32,134.2,42
5892,2712,493.7,18.48,46.7,779.6,24.31
5934,423.3,267.8,72.92,52.25,110.3,79.02
5940,5478,328.8,12.41,143.2,2165,22.17
5948,7.792E+04,1.836E+04,135.9,60.19,89.33,160.8
5958,9985,1635,27.72,276.5,4550,45.63
5960,6567,906.7,26.54,97.73,2217,34.79
5962,4046,481.9,20.54,55.07,916.3,19.85
5963,5462,1011,28.48,90.85,1895,38.56
5966,2079,302.4,13.59,41.89,615.4,20.3
5968,5471,817.8,25.81,74.79,2038,52.83
5970,5452,728.6,24.52,88.03,1425,36.13
5977,2271,3983,39.06,40.43,55.16,50.94
5982,6522,969.6,28.46,216.6,3034,42.11
5986,7824,1464,33.18,271.1,3511,59.12
5992,6185,604.5,17.05,141.2,2350,53.91
5996,1.337E+04,1090,27.52,320.8,5028,50.46
6002,2.08E+04,4191,2248,986.9,1.325E+04,535.8
6014,4451,3062,4402,1438,1.443E+04,2278
6016,682.1,320.2,40.89,67.34,143.7,60.8
6047,1570,750.2,95.39,93.14,160.7,162.3
6048,7661,1643,26.47,106.5,2321,51.36
6049,5621,389.4,20.23,179.5,1915,32.78
6051,7637,1347,28.21,144.9,3324,80.85
6053,6840,362.3,25.81,154.9,2929,24.94
6057,4822,518.3,21.35,68.22,1310,50.98
6060,9145,908,25.83,217.7,4566,51.83
6061,2.243E+04,3423,1615,764.4,1.068E+04,491.7
6065,1.037E+04,1177,25.44,399.4,5769,43.71
6069,139.1,1247,28.61,27.2,40.65,60.87
6092,185.3,453.8,14.35,14.22,30.35,26.76
6096,256.3,474,15.76,14.84,44.07,31.34
6104,6827,942.8,22.88,164.5,3611,20.37
6105,392.8,335.8,14.1,12.28,33.64,32.73
6110,2.477E+04,1.275E+04,65.18,934.2,8960,122.5
6113,4483,524.2,20.78,71.97,1051,31.25
6117,1.258E+04,2089,28.36,250,4219,66.04
6118,1716,3177,37.36,40.28,131.2,48.41
6119,2015,2222,48.31,67.84,105.6,42.53
6121,1.257E+04,2863,28.09,570.8,7866,59.44
6125,1.666E+04,6623,931.7,794.9,1.21E+04,278.2
6146,2192,3336,35.09,30.18,55.99,75.66
6155,182.9,383.7,36.77,24.34,37.41,42.91
6159,725,2880,46.53,32.61,58.72,56.07
6174,561.5,783.8,20.14,32,51.09,30.82
6184,1206,1093,38.52,26.01,57.04,55.89
6214,8370,496.5,17.94,255.5,4838,59.01
6216,4078,309.3,11.88,56.42,1055,26.23
6225,7541,786.4,24.35,106.1,2421,31.8
6230,701.8,769.3,46.49,24.41,52.41,30.96
6237,1.241E+04,992.8,25.86,216.1,3460,30.4
6245,9965,856.2,51.88,194.9,3456,43.4
6248,7425,721.5,21.94,136.5,2460,35.35
6256,2.786E+04,3989,1086,626.6,9377,330.2
6268,1.432E+04,1870,56.76,78.51,85.87,54.29
6270,5423,304.7,10.85,103.4,2182,17.7
6273,2203,245.8,14.92,20.35,85.1,29.33
6277,1.738E+05,2.385E+05,464.1,5331,6.605E+04,331
6285,3.132E+04,7991,1702,1112,1.597E+04,478.4
6293,4149,583.5,34.21,71.74,1718,33.43
6302,1838,278.4,13.07,46,732.9,22.32
