Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
333933,1545,2136,37.59,97.11,488.4,65.54
333934,1463,1496,671.6,361,281.6,206.1
334054,1001,1925,77.86,59.52,261.8,48.34
334296,1072,1655,312.5,203.1,143.4,100.1
334297,2284,1778,73.66,136.6,818,43.51
334298,1604,1771,56.28,100.6,460.8,34.82
334299,5953,9911,113.5,72.2,98.8,62.99
334420,3075,3015,45.92,184,999.2,51.33
334421,2732,2951,69.39,108,631.3,34.26
334547,660.7,631.8,49.89,37.97,162.3,44.02
334914,1.866E+04,1.793E+05,271.4,179.9,258.6,220.7
335033,1346,1628,60.96,72.89,366.8,58.06
335152,237.3,1013,32.72,58.76,209.7,30.21
335277,1.157E+04,2.386E+04,2375,910.3,4141,269.6
335278,742.6,903.3,39.9,30.42,197.8,34.86
335279,4005,1689,64.34,244,1396,71.37
335509,1.186E+04,9535,43.6,320.2,2691,47.39
335631,3878,3627,71.37,174,1252,45.45
335866,3478,3244,108.2,232,1574,43.41
335867,4.969E+05,7.848E+05,1465,3.341E+04,1.827E+05,755.3
335978,1.129E+04,1.454E+04,2184,662.6,3031,227
336335,679.3,623.4,37.78,56.47,216.2,47.55
336336,5573,2.757E+04,112.7,599.2,4014,57.41
336802,3066,2323,35.82,95.43,586.5,29.19
336928,1.289E+04,1.47E+04,2585,909.9,4099,304.2
337173,3303,4577,99.01,237.8,1049,86.34
337417,2753,1256,47.98,141.7,974.8,36.05
337418,666.6,1595,252.3,233.3,200,97.22
337663,1814,3979,75.3,97.64,379,37.5
337785,1.216E+04,1.196E+05,222.1,127.9,302,108.1
337786,1895,1819,26.35,88.96,526.5,29.15
337787,8716,1.085E+04,2746,852.1,3954,287.9
337788,302.4,1275,25.03,56.87,116,56.47
338023,3426,2475,81.05,197.9,1188,46.85
338024,1.718E+04,6.713E+04,2.714E+04,4922,1.946E+04,1908
338136,975.1,883.1,38.7,55.28,255.6,26.27
338497,1128,672.1,261,261.6,197.1,85.71
338738,9992,4.493E+04,94.23,1060,6230,87.05
338739,1064,848.9,50.8,72.77,363.8,29.47
338740,1822,1555,51.96,72.99,454.8,34.69
338741,3972,2535,46.97,129.3,765.3,57.87
338859,1.198E+04,1.534E+04,3174,975.2,4961,331
338860,5741,3869,42.38,322.1,1968,54.04
338861,991.8,1917,37.29,88.02,433.2,47.45
338862,3038,4094,92.06,457.7,2110,57.87
339102,306.9,228.9,30.37,28.58,102.2,13.18
339227,2420,1731,47.04,128.2,695.9,15.71
339587,2419,1761,31.18,96.87,476.3,47.37
339707,3117,2310,72.37,133.4,626.6,46.89
339708,937.5,5398,68.72,199.5,922.9,42.75
339829,2.275E+04,5.1E+04,143.5,3365,1.716E+04,112.4
339830,2577,2792,717.4,477.6,359.9,245.3
340307,5099,3412,70.67,232.6,1381,78.33
340429,3728,2104,60.63,248,1568,67.05
340430,473.9,752.7,49.71,25.3,101,47.29
340548,4708,5170,102.6,364,1802,79.22
340668,2716,4945,108.8,715.3,2996,140.9
341257,2743,1892,76.41,167.5,576.6,62.05
341376,590.3,975.8,252.5,232.8,180.4,79.84
341377,3789,6268,49.39,146.2,362.1,75.12
341496,6445,6112,89.57,717.7,3102,68.03
341616,1.028E+05,4.32E+05,417.4,3393,1.868E+04,267.5
341733,6571,7668,73.31,324.6,1664,25.48
341734,1.364E+04,7.412E+04,146,2133,1.225E+04,72.47
341850,4128,6777,55.45,174.7,1181,61.23
341851,1.017E+04,1.438E+04,2075,872.6,4344,262.3
341852,4809,5238,55.7,167.2,840.1,36.88
342092,9689,2.845E+04,59.91,1523,8879,56.87
343047,2430,1513,41.5,137.9,821.9,47.85
343164,102.9,249.6,125,196.8,121.4,44.59
343531,1284,3413,76.66,685,2749,30.58
343656,2.116E+04,4.278E+04,394.4,2627,1.381E+04,257.9
343778,2862,5423,86.56,1090,4683,52.49
343779,1990,1184,64.82,103.2,560.7,60.52
344019,4367,4494,56.27,229.3,1295,69
344257,6022,9200,9387,1416,4830,887.1
344258,2363,3139,48.57,158.2,1004,64.56
344616,1131,1184,280.1,305.7,259,115.5
344617,3253,1526,53.98,127.2,825.6,57.55
344618,1.291E+05,4.396E+05,5157,2.895E+05,4.81E+05,2060
344733,1866,2608,67.34,106.2,489.7,53.29
344858,1158,2132,350,228.7,140.4,124.9
344977,828.7,3069,66.47,1018,3712,40.97
345097,360,368.7,161.2,156.1,101,78.25
345222,34.14,804.7,22.41,41.1,207.7,44.14
345223,2.929E+04,1.901E+05,575.1,1.882E+04,1.469E+05,473.5
345224,4632,3961,90.61,221.9,1133,59.42
345225,347.9,2075,151,138.8,92.36,72.23
345461,313.6,446.2,210.1,133.2,96.61,76.43
345583,2.99E+05,8.236E+05,1054,2.459E+04,1.311E+05,645.2
345695,3746,5195,25.27,150,982.5,34.02
345817,1.219E+04,3.174E+04,8140,1477,6301,690.4
345933,927.4,1752,350.3,243.6,173.1,135.8
346051,4935,4056,87.12,583.1,2601,51.69
346052,9164,1.457E+04,76.92,1338,7323,98.86
346167,9.558E+04,2.277E+05,597,845,1924,426.1
346168,5.747E+04,1.598E+05,313.5,1.418E+04,1.045E+05,179.3
346396,921.4,929.7,72.46,45.86,256.7,35.89
346397,265.8,379.7,132.6,145.8,108.3,49.2
346512,1650,1450,50.01,94.25,623.8,38.05
346748,2800,2286,76.36,123.8,675.8,86.52
346867,1.615E+04,1.594E+04,3295,1027,5324,297.3
347236,5490,5334,97.61,1173,5000,46.89
347480,125.5,293.6,224.1,269.9,148.5,79.68
347481,8.368E+04,4.665E+05,1149,972.5,1195,317.3
347958,1550,1126,54.38,76.81,340.2,23.07
348082,1131,777.5,36.85,48.54,282.2,19.15
348083,1961,1433,94.61,122,137.6,38.52
348320,577,984,50.02,59.51,355.9,63.76
348321,3749,1946,31.28,157.8,979.8,35.28
348564,950.6,1092,45.41,58.83,253.8,48.47
348565,2602,2305,76.1,140.8,662.7,64
348566,1020,2064,86.72,57.43,295.8,46.35
348684,5.545E+04,1.127E+05,351,992.6,4727,247.9
348685,4490,7.576E+04,169.2,139.5,281,100.1
348800,1453,8454,89.52,1255,5244,86.36
348801,9204,5.843E+04,115.6,270.3,593.1,109.1
348802,9544,5.199E+04,123.4,2150,1.188E+04,69.9
348803,1.882E+04,2.915E+04,2596,973.7,4525,334.3
349164,1.027E+04,3.825E+04,96.01,184.7,837.9,89.69
349165,501.6,1162,529,245.3,185,247.2
349276,1976,2287,57.43,109.7,547.8,49.1
349277,708.2,891.7,196.7,121.4,102.5,81
349400,3290,3058,45.83,226.9,1442,23.2
349764,569,656.3,205.2,137.9,101.4,75.41
350010,365.8,817.4,189.3,134.4,97.58,82.89
350011,823,1535,56.56,54,221.4,37.49
350133,3250,3443,81.7,274.9,1653,62.33
350253,1623,1323,64.78,86.59,418.6,43.6
350254,1.325E+04,1.122E+05,337.9,221.9,177.6,150.7
350491,505.7,1874,180.1,163.4,116.4,76.84
350852,1721,953.8,67.33,85.56,433.9,35.93
350974,4263,3901,75.02,946.9,4698,53.28
351093,4248,3680,32.96,723.5,3357,29.86
351094,3036,1502,74.69,94.03,654.3,42.36
351210,4456,2034,49.56,173.7,1037,29.47
351450,696.7,840.6,63.56,41.5,215.1,27.08
351451,1.083E+04,7.384E+04,143,2668,1.524E+04,78.31
351570,5121,7812,91.43,73.86,132.3,81.55
351804,4556,3614,78.75,776.2,3530,62.45
351805,1.267E+04,5.021E+04,191.7,1925,1.079E+04,157.2
352037,2224,1657,66.82,114.5,536.6,40.6
352158,2.091E+04,1.699E+05,385.5,194.9,163.7,166.2
352282,3107,5335,65.2,835.2,3784,69.6
352283,937.9,602.8,52.25,71,364.9,23.24
352284,2494,2216,53.05,98.55,581.6,83.25
352638,3089,6044,52.5,167.4,875.2,50.89
352991,1006,2152,37.67,47.35,218.2,57.11
352992,1.17E+04,1.87E+04,3364,905.1,4392,437.4
352993,5.503E+04,1.777E+05,343,5893,3.587E+04,233.5
353351,255.9,420.8,123.5,128.1,92.13,59.85
353352,4466,4.701E+04,5987,2067,1.011E+04,603.5
353353,1059,6908,108.1,1034,4114,52.93
353354,4115,1970,51.43,268.9,1687,50.56
353471,547.1,1276,225.9,181.6,114.5,76.2
353472,3057,9306,1107,1410,1006,376.1
353473,3659,3288,48.53,159.4,777.4,62.54
353713,121.5,450.3,118.3,95.28,103.1,89.24
353833,705.8,1902,285,145.9,111,85.02
353960,670.4,2187,109,85.3,529.1,66.14
354206,582.9,1698,185.4,119.6,117.4,86.42
354207,1180,3675,60.22,607.5,2755,40.65
354208,4721,1.769E+04,185.5,330,1587,118.5
354328,167.8,557.8,74.15,181.3,111.9,41.81
354329,3349,2186,51.58,120.9,736.6,23.89
354447,3858,1361,60.76,175.5,1012,38.14
354568,2.346E+04,2.275E+04,3232,977.6,4561,338.6
355047,2398,1095,57.13,126.4,675.4,51.4
355167,3005,3474,58.52,145.5,519.8,50.23
355168,1291,3392,63.22,585.3,2562,66.18
355289,881.6,997.8,54.34,57.78,239.6,26.8
355411,1.72E+04,4.838E+04,189.6,3578,1.863E+04,124.7
355528,1.131E+04,1.192E+04,76.32,917.4,6497,95.21
355646,3684,1473,69.45,177.3,1067,32.58
355769,2.061E+04,2.037E+04,2621,833.3,4184,291.7
356008,6410,8209,141.5,1776,7907,113.1
356129,1235,1412,37.05,57.18,319.6,27.6
